658747, EECO07, 2024-01-24 15:09:05, 03EGTBY004, None
658748, EECO08, 2024-01-24 15:09:05, 03EGTBY004, None
658749, EECO09, 2024-01-24 15:09:05, 03EGTBY004, None
658750, EECO10, 2024-01-24 15:09:05, 03EGTBY004, None
658751, EECO11, 2024-01-24 15:09:05, 03EGTBY004, None
658752, EECO12, 2024-01-24 15:09:05, 03EGTBY004, None
658753, EECO13, 2024-01-24 15:09:05, 03EGTBY004, None
658754, EECO14, 2024-01-24 15:09:05, 03EGTBY004, None
658755, PO1a1, 2024-01-24 15:09:05, 03EGTBY004, None
658756, EECO01, 2024-01-24 15:09:06, 03EGTBY005, None
658757, EECO02, 2024-01-24 15:09:06, 03EGTBY005, None
658758, EECO03, 2024-01-24 15:09:06, 03EGTBY005, None
658759, EECO04, 2024-01-24 15:09:06, 03EGTBY005, None
