34470, EECO03, YES, 03EGTSN002, 2024-01-24 15:09:45, 126516, 2023, 0
34472, EECO06, YES, 03EGTSN002, 2024-01-24 15:09:45, 126517, 2023, 0
34471, EECO06, YES, 03EGTSN002, 2024-01-24 15:09:45, 126518, 2023, 0
34470, EECO06, YES, 03EGTSN002, 2024-01-24 15:09:45, 126519, 2023, 0
34472, EECO07, YES, 03EGTSN002, 2024-01-24 15:09:45, 126520, 2023, 1
34471, EECO07, YES, 03EGTSN002, 2024-01-24 15:09:45, 126521, 2023, 0
34470, EECO07, YES, 03EGTSN002, 2024-01-24 15:09:45, 126522, 2023, 1
34472, EECO08, YES, 03EGTSN002, 2024-01-24 15:09:45, 126523, 2023, 0
34471, EECO08, YES, 03EGTSN002, 2024-01-24 15:09:45, 126524, 2023, 1
34470, EECO08, YES, 03EGTSN002, 2024-01-24 15:09:45, 126525, 2023, 0
34472, EECO12, YES, 03EGTSN002, 2024-01-24 15:09:45, 126526, 2023, 0
34471, EECO12, YES, 03EGTSN002, 2024-01-24 15:09:45, 126527, 2023, 0
34470, EECO12, YES, 03EGTSN002, 2024-01-24 15:09:45, 126528, 2023, 0
34472, EECO13, YES, 03EGTSN002, 2024-01-24 15:09:45, 126529, 2023, 0
34471, EECO13, YES, 03EGTSN002, 2024-01-24 15:09:45, 126530, 2023, 0
34470, EECO13, YES, 03EGTSN002, 2024-01-24 15:09:45, 126531, 2023, 0
34472, EECO14, YES, 03EGTSN002, 2024-01-24 15:09:45, 126532, 2023, 0
34471, EECO14, YES, 03EGTSN002, 2024-01-24 15:09:45, 126533, 2023, 1
34470, EECO14, YES, 03EGTSN002, 2024-01-24 15:09:45, 126534, 2023, 0
34472, EECO09, YES, 03EGTSN002, 2024-01-24 15:09:45, 126535, 2023, 0
34471, EECO09, YES, 03EGTSN002, 2024-01-24 15:09:45, 126536, 2023, 0
34470, EECO09, YES, 03EGTSN002, 2024-01-24 15:09:45, 126537, 2023, 0
34472, EECO10, YES, 03EGTSN002, 2024-01-24 15:09:45, 126538, 2023, 0
34471, EECO10, YES, 03EGTSN002, 2024-01-24 15:09:45, 126539, 2023, 0
34470, EECO10, YES, 03EGTSN002, 2024-01-24 15:09:45, 126540, 2023, 0
34472, EECO11, YES, 03EGTSN002, 2024-01-24 15:09:45, 126541, 2023, 1
34471, EECO11, YES, 03EGTSN002, 2024-01-24 15:09:45, 126542, 2023, 1
34470, EECO11, YES, 03EGTSN002, 2024-01-24 15:09:45, 126543, 2023, 1
34472, EECO02, YES, 03EGTSN002, 2024-01-24 15:09:45, 126544, 2023, 0
34471, EECO02, YES, 03EGTSN002, 2024-01-24 15:09:45, 126545, 2023, 0
34470, EECO02, YES, 03EGTSN002, 2024-01-24 15:09:45, 126546, 2023, 0
34472, EECO04, YES, 03EGTSN002, 2024-01-24 15:09:45, 126547, 2023, 0
34471, EECO04, YES, 03EGTSN002, 2024-01-24 15:09:45, 126548, 2023, 0
34470, EECO04, YES, 03EGTSN002, 2024-01-24 15:09:45, 126549, 2023, 0
34472, EECO05, YES, 03EGTSN002, 2024-01-24 15:09:45, 126550, 2023, 0
34471, EECO05, YES, 03EGTSN002, 2024-01-24 15:09:45, 126551, 2023, 1
34470, EECO05, YES, 03EGTSN002, 2024-01-24 15:09:45, 126552, 2023, 1
33350, EECO01, YES, 03EGTTH009, 2024-01-24 15:09:46, 126553, 2023, 1
36169, EECO01, YES, 03EGTTH009, 2024-01-24 15:09:46, 126554, 2023, 1
33349, EECO01, YES, 03EGTTH009, 2024-01-24 15:09:46, 126555, 2023, 1
33350, EECO03, YES, 03EGTTH009, 2024-01-24 15:09:46, 126556, 2023, 0
36169, EECO03, YES, 03EGTTH009, 2024-01-24 15:09:46, 126557, 2023, 0
33349, EECO03, YES, 03EGTTH009, 2024-01-24 15:09:46, 126558, 2023, 0
33350, EECO06, YES, 03EGTTH009, 2024-01-24 15:09:46, 126559, 2023, 0
36169, EECO06, YES, 03EGTTH009, 2024-01-24 15:09:46, 126560, 2023, 0
33349, EECO06, YES, 03EGTTH009, 2024-01-24 15:09:46, 126561, 2023, 0
33350, EECO07, YES, 03EGTTH009, 2024-01-24 15:09:46, 126562, 2023, 1
36169, EECO07, YES, 03EGTTH009, 2024-01-24 15:09:46, 126563, 2023, 1
33349, EECO07, YES, 03EGTTH009, 2024-01-24 15:09:46, 126564, 2023, 1
33350, EECO08, YES, 03EGTTH009, 2024-01-24 15:09:46, 126565, 2023, 0
36169, EECO08, YES, 03EGTTH009, 2024-01-24 15:09:46, 126566, 2023, 0
33349, EECO08, YES, 03EGTTH009, 2024-01-24 15:09:46, 126567, 2023, 0
33350, EECO12, YES, 03EGTTH009, 2024-01-24 15:09:46, 126568, 2023, 0
36169, EECO12, YES, 03EGTTH009, 2024-01-24 15:09:46, 126569, 2023, 0
33349, EECO12, YES, 03EGTTH009, 2024-01-24 15:09:46, 126570, 2023, 0
33350, EECO13, YES, 03EGTTH009, 2024-01-24 15:09:46, 126571, 2023, 0
36169, EECO13, YES, 03EGTTH009, 2024-01-24 15:09:46, 126572, 2023, 0
33349, EECO13, YES, 03EGTTH009, 2024-01-24 15:09:46, 126573, 2023, 0
33350, EECO14, YES, 03EGTTH009, 2024-01-24 15:09:46, 126574, 2023, 0
36169, EECO14, YES, 03EGTTH009, 2024-01-24 15:09:46, 126575, 2023, 0
33349, EECO14, YES, 03EGTTH009, 2024-01-24 15:09:46, 126576, 2023, 0
33350, EECO09, YES, 03EGTTH009, 2024-01-24 15:09:47, 126577, 2023, 0
